Part;TimeStep [s];Steps;DTsMin;PartRuntime [s];NpSave;NpSim;NpNew;NpOut;NctSim;NpAlloc [X];NctAlloc [X];SimRuntime [s];NpbSim;NpfSim;NpNormal;NpOutPos;NpOutRho;NpOutMov;DtMin [s];DtMax [s];MemCPU [MiB];MemGPU [MiB];MemGPU_Cells [MiB];NpAlloc;NctAlloc
10;2.000015919193926;1,443;0;7.670461;105,465;105,465;0;0;1,950;1.001214;8.000000;75.333297;37,551;67,914;105,465;0;0;0;0.0001365754044273834;0.0001398907932466545;9.107065;19.001781;0.238075;105,593;15,600
13;2.600084457083044;1,454;0;7.760827;105,465;105,465;0;0;1,950;1.001214;8.000000;86.105389;37,551;67,914;105,465;0;0;0;0.0001351838787469149;0.0001394068254848723;9.107065;19.001781;0.238075;105,593;15,600
11;2.200003988445057;1,443;0;7.692275;105,465;105,465;0;0;1,625;1.001214;9.600000;83.027415;37,551;67,914;105,465;0;0;0;0.0001374249779052865;0.0001394854036894008;9.107065;19.001781;0.238075;105,593;15,600
14;2.80003942255156;1,447;0;7.662426;105,465;105,465;0;0;1,625;1.001214;9.600000;93.769489;37,551;67,914;105,465;0;0;0;0.0001368094938077023;0.0001392182273645731;9.107065;19.001781;0.238075;105,593;15,600
12;2.40008044488944;1,449;0;7.673671;105,465;105,465;0;0;1,625;1.001214;9.600000;90.702912;37,551;67,914;105,465;0;0;0;0.0001366582505414689;0.000139116101467493;9.107065;19.001781;0.238075;105,593;15,600
15;3.000003712718776;1,457;0;7.732330;105,465;105,465;0;0;1,690;1.001214;9.230769;101.504408;37,551;67,914;105,465;0;0;0;0.000135867794320156;0.0001384938598073448;9.107065;19.001781;0.238075;105,593;15,600
13;2.600084457083044;1,454;0;7.732365;105,465;105,465;0;0;1,950;1.001214;8.000000;98.438269;37,551;67,914;105,465;0;0;0;0.0001351838787469149;0.0001394068254848723;9.107065;19.001781;0.238075;105,593;15,600
16;3.200061885900698;1,464;0;7.823874;105,465;105,465;0;0;1,950;1.001214;8.000000;109.329710;37,551;67,914;105,465;0;0;0;0.0001336173512495549;0.0001386291015572263;9.107065;19.001781;0.238075;105,593;15,600
14;2.80003942255156;1,447;0;7.728567;105,465;105,465;0;0;1,625;1.001214;9.600000;106.168585;37,551;67,914;105,465;0;0;0;0.0001368094938077023;0.0001392182273645731;9.107065;19.001781;0.238075;105,593;15,600
17;3.400119879614198;1,460;0;7.777318;105,465;105,465;0;0;1,950;1.001214;8.000000;117.108690;37,551;67,914;105,465;0;0;0;0.0001357864169862216;0.0001382161741039282;9.107065;19.001781;0.238075;105,593;15,600
15;3.000003712718776;1,457;0;7.747237;105,465;105,465;0;0;1,690;1.001214;9.230769;113.918672;37,551;67,914;105,465;0;0;0;0.000135867794320156;0.0001384938598073448;9.107065;19.001781;0.238075;105,593;15,600
18;3.600134676489663;1,464;0;7.781038;105,465;105,465;0;0;1,625;1.001214;9.600000;124.891467;37,551;67,914;105,465;0;0;0;0.0001349274161589448;0.0001381066444072707;9.107065;19.001781;0.238075;105,593;15,600
16;3.200061885900698;1,464;0;7.802816;105,465;105,465;0;0;1,950;1.001214;8.000000;121.723608;37,551;67,914;105,465;0;0;0;0.0001336173512495549;0.0001386291015572263;9.107065;19.001781;0.238075;105,593;15,600
19;3.800135336404229;1,473;0;7.866479;105,465;105,465;0;0;2,275;1.001214;6.857143;132.759460;37,551;67,914;105,465;0;0;0;0.0001295864720341618;0.0001386723424805316;9.107065;19.001781;0.238075;105,593;15,600
17;3.400119879614198;1,460;0;7.811392;105,465;105,465;0;0;1,950;1.001214;8.000000;129.536878;37,551;67,914;105,465;0;0;0;0.0001357864169862216;0.0001382161741039282;9.107065;19.001781;0.238075;105,593;15,600
20;4.000098016419264;1,470;0;7.852969;105,465;105,465;0;0;1,950;1.001214;8.000000;140.614036;37,551;67,914;105,465;0;0;0;0.0001333444299405115;0.0001374801820827087;9.107065;19.001781;0.238075;105,593;15,600
18;3.600134676489663;1,464;0;7.792328;105,465;105,465;0;0;1,625;1.001214;9.600000;137.331375;37,551;67,914;105,465;0;0;0;0.0001349274161589448;0.0001381066444072707;9.107065;19.001781;0.238075;105,593;15,600
21;4.200113345739428;1,467;0;7.813051;105,465;105,465;0;0;1,625;1.001214;9.600000;148.428851;37,551;67,914;105,465;0;0;0;0.0001342614548730924;0.0001378323890642757;9.107065;19.001781;0.238075;105,593;15,600
19;3.800135336404229;1,473;0;7.863459;105,465;105,465;0;0;2,275;1.001214;6.857143;145.196697;37,551;67,914;105,465;0;0;0;0.0001295864720341618;0.0001386723424805316;9.107065;19.001781;0.238075;105,593;15,600
22;4.400067976011949;1,483;0;7.935775;105,465;105,465;0;0;1,950;1.001214;8.000000;156.366121;37,551;67,914;105,465;0;0;0;0.0001304193082585171;0.0001369218574842921;9.107065;19.001781;0.238075;105,593;15,600
20;4.000098016419264;1,470;0;7.876684;105,465;105,465;0;0;1,950;1.001214;8.000000;153.076375;37,551;67,914;105,465;0;0;0;0.0001333444299405115;0.0001374801820827087;9.107065;19.001781;0.238075;105,593;15,600
23;4.600008034870089;1,493;0;7.996271;105,465;105,465;0;0;1,950;1.001214;8.000000;164.364196;37,551;67,914;105,465;0;0;0;0.0001282720628226721;0.0001377325449577885;9.107065;19.001781;0.238075;105,593;15,600
21;4.200113345739428;1,467;0;7.854230;105,465;105,465;0;0;1,625;1.001214;9.600000;160.932514;37,551;67,914;105,465;0;0;0;0.0001342614548730924;0.0001378323890642757;9.107065;19.001781;0.238075;105,593;15,600
24;4.800032830253006;1,475;0;7.865192;105,465;105,465;0;0;1,950;1.001214;8.000000;172.230910;37,551;67,914;105,465;0;0;0;0.0001344789545536148;0.0001368873609451734;9.107065;19.001781;0.238075;105,593;15,600
