 ;PosX [m]:;0.03;0.15;0.3;0.45;0.57
 ;PosY [m]:;0.15;0.15;0.15;0.15;0.15
 ;PosZ [m]:;0.05;0.05;0.05;0.05;0.05
Part;Time [s];Press_0 [Pa];Press_1 [Pa];Press_2 [Pa];Press_3 [Pa];Press_4 [Pa]
0;0;333.535;333.535;333.535;333.535;333.535
1;0.200048;342.444;338.753;317.744;304.837;304.061
2;0.400007;335.901;360.208;354.353;346.993;373.941
3;0.600021;321.831;329.052;357.429;393.897;396.457
4;0.800038;312.957;321.754;362.818;406.235;411.467
5;1.0001;358.94;360.915;366.909;365.958;361.63
6;1.20006;448.742;412.295;356.151;312.027;283.194
7;1.40001;454.749;440.866;361.831;289.666;272.671
8;1.60006;377.98;383.561;375.344;344.182;333.292
9;1.80011;280.286;302.435;347.695;425.012;468.524
10;2.00002;233.883;266.146;355.83;460.631;500.802
11;2.2;287.289;317.22;390.485;414.188;404.423
12;2.40008;471.559;420.671;348.005;309.155;288.514
13;2.60008;535.184;476.84;332.535;247.017;223.775
14;2.80004;438.558;444.994;402.108;284.238;234.508
15;3;302.104;326.16;364.104;415.043;439.395
16;3.20006;223.37;241.175;313.255;471.152;569.772
17;3.40012;203.481;248.746;390.943;482.321;469.63
18;3.60013;364.445;397.805;390.494;344.097;324.936
19;3.80014;587.632;451.375;300.068;249.839;230.836
20;4.0001;527.99;511.571;364.309;224.263;182.607
21;4.20011;335.582;372.253;429.583;358.797;287.573
22;4.40007;259.038;260.593;293.84;446.888;626.517
23;4.60001;185.915;217.118;328.93;515.313;598.016
24;4.80003;225.147;309.456;459.198;404.476;343.824
25;5.00002;629.464;459.338;310.522;274.337;271.017
26;5.20009;647.065;498.15;290.904;223.051;196.928
27;5.4;372.164;441.257;459.527;265.587;190.849
28;5.60011;277.032;286.744;345.728;468.591;529.316
29;5.80012;219.712;229.244;269.724;455.068;621.261
30;6.00002;182.857;239.869;428.421;478.247;410.085
31;6.20005;404.18;455.852;396.903;302.395;267.973
32;6.40007;627.053;431.355;259.96;234.838;236.607
33;6.6001;500.406;513.157;383.674;231.919;185.285
34;6.80006;267.379;324.924;444.495;406.029;298.412
35;7.00002;255.723;243.831;266.078;435.078;647.531
36;7.20005;198.329;229.547;333.555;522.502;603.179
37;7.40006;243.144;345.068;471.162;358.318;263.537
38;7.60007;643.956;456.586;285.752;254.676;255.147
39;7.80003;637.189;494.233;291.547;227.336;200.522
40;8.00011;310.732;403.668;469.772;293.857;212.291
41;8.2;258.802;265.751;326.868;480.578;586.367
42;8.40003;219.58;229.288;267.306;454.125;623.714
43;8.60011;204.82;259.268;438.633;449.73;359.707
44;8.80005;440.419;469.004;378.948;286.4;255.144
45;9.0001;589.67;429.85;258.548;238.561;227.616
46;9.2001;443.31;487.725;388.729;243.521;196.679
47;9.40007;267.123;314.57;427.53;411.242;311.322
48;9.60002;248.429;248.739;264.57;425.911;615.086
49;9.80004;205.003;238.824;335.034;498.786;556.119
50;10.0001;241.352;341.795;458.491;354.057;277.869
