 ;Pos X/Y/Z [m]:;0.03;0.15;0.05;0.15;0.15;0.05;0.3;0.15;0.05;0.45;0.15;0.05;0.57;0.15;0.05
Part;Time [s];Vel_0.x [m/s];Vel_0.y [m/s];Vel_0.z [m/s];Vel_1.x [m/s];Vel_1.y [m/s];Vel_1.z [m/s];Vel_2.x [m/s];Vel_2.y [m/s];Vel_2.z [m/s];Vel_3.x [m/s];Vel_3.y [m/s];Vel_3.z [m/s];Vel_4.x [m/s];Vel_4.y [m/s];Vel_4.z [m/s]
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0.200048;0.0227549;-1.35334e-08;-0.0127389;0.0180331;1.78155e-07;0.00723915;0.0064309;-7.52312e-08;0.00091966;0.0163134;9.2469e-08;-0.00794368;0.025659;3.44959e-07;-0.00859638
2;0.400007;-0.01601;1.46459e-06;-0.0147987;0.0212335;-3.57918e-08;-0.0147775;0.0342552;-1.22168e-08;-0.000188985;0.0251794;3.05725e-09;0.00827662;0.000562152;3.73815e-07;0.000593443
3;0.600021;-0.0297687;-2.95574e-07;-0.011868;-0.00624993;2.88689e-06;-0.0101399;0.0280018;7.75992e-07;-0.00446363;-0.000707589;2.65346e-07;0.00849996;-0.027161;-3.19984e-06;0.00454891
4;0.800038;-0.0245271;-1.43199e-05;-0.0012279;-0.0295204;3.29862e-06;-0.000934325;-0.0528544;7.50159e-06;0.000927026;-0.0332569;5.3048e-06;-0.00936893;-0.0304345;1.02758e-05;-0.00898125
5;1.0001;-0.0141876;7.22256e-06;0.0235259;-0.0693475;-1.81323e-05;0.0101021;-0.0774302;-1.77146e-05;-0.00432134;-0.0615226;-9.2659e-06;-0.0224578;-0.00601605;-0.000122959;-0.0266388
6;1.20006;0.017787;3.08308e-05;0.0161336;-0.030081;-8.94885e-06;0.0109187;-0.0578492;4.75321e-06;-0.00724633;-0.0212912;-3.96808e-05;-0.0167103;0.017104;-0.000152787;-0.0220295
7;1.40001;0.0399279;3.339e-06;-0.018244;0.051485;-1.99e-06;-0.0054748;0.0466859;2.74901e-05;0.00151771;0.0353722;1.28027e-05;0.00122471;0.0357354;-4.52915e-05;0.00448377
8;1.60006;0.016609;-3.35572e-05;-0.028988;0.0812725;7.49011e-05;-0.0272812;0.134486;3.75303e-05;-0.00645052;0.102374;-3.78493e-05;0.0298991;0.0212052;-0.00013567;0.0270519
9;1.80011;-0.0106078;-0.000438461;-0.0290169;0.0558518;5.89435e-05;-0.0144851;0.095198;1.46742e-05;-0.00395262;0.0787956;5.50132e-05;0.020452;-0.00297153;3.11749e-05;0.0336103
10;2.00002;-0.0284718;-0.000674987;-0.00701755;-0.0108507;3.52961e-05;0.000700704;-0.0232968;0.000121582;0.0140688;-0.0567585;-3.27442e-05;0.00320177;-0.0459825;-4.9835e-05;-0.0258768
11;2.2;-0.0312743;-0.000368478;0.0341481;-0.11567;5.66972e-05;0.029465;-0.158794;-1.49364e-05;-0.00221272;-0.105668;3.20253e-07;-0.0288786;-0.0336261;0.00038494;-0.0333752
12;2.40008;-0.0167306;-0.000744119;0.053821;-0.140576;-5.18361e-05;0.0284469;-0.144476;-8.32279e-05;-0.016035;-0.0692977;5.41729e-06;-0.0286743;0.0109363;0.000231948;-0.0246096
13;2.60008;0.0448395;-0.000450277;-0.0236484;0.0417738;-8.76781e-05;0.00768358;-0.0196799;-2.05994e-05;0.0159517;-0.0139056;0.000300179;-0.00616773;0.0168143;-0.00081911;-0.0162162
14;2.80004;0.0476718;-0.0020878;-0.0381532;0.131696;0.000241251;-0.0289921;0.169736;-0.00032375;0.0108474;0.088396;0.000186752;0.0289026;0.0305877;-0.000267464;0.0208503
15;3;0.00442339;-5.63892e-05;-0.0272085;0.0845308;0.000546182;-0.0323145;0.178823;4.83769e-05;-0.0252214;0.204037;-0.000141801;0.027018;0.0417625;-0.000777483;0.081543
16;3.20006;-0.0159607;-0.000178208;-0.0210288;0.0334539;0.000368642;-0.0192553;0.0666597;-0.000306611;0.00597069;0.00392608;0.000124015;0.0218453;-0.0352974;-0.00273853;-0.0125108
17;3.40012;-0.0289054;-0.000334937;0.00559991;-0.0531745;-0.000764811;0.0209153;-0.146233;-6.60943e-05;0.0335333;-0.159267;-0.000266037;-0.0311329;-0.0582507;0.000132806;-0.0528888
18;3.60013;-0.0496879;0.000461375;0.0867394;-0.235659;-0.000608855;0.040943;-0.215899;3.52604e-06;-0.0389408;-0.0936508;0.00029227;-0.037118;-0.0143045;-0.000484584;-0.0202738
19;3.80014;-0.00099264;0.000987273;0.0196876;-0.0713952;-0.000478983;0.0209218;-0.0985865;0.000243984;-0.0023072;-0.0541208;0.000117404;-0.0270276;0.00934163;0.00288357;-0.0257442
20;4.0001;0.0763169;-7.41347e-05;-0.0739096;0.181903;4.06954e-05;-0.0104679;0.0888449;-0.000182796;0.0426333;0.0209525;-0.00042947;0.00860545;0.0211288;0.00180812;-0.00150509
21;4.20011;0.022672;0.00464038;-0.0196689;0.10181;-0.00076321;-0.0479526;0.257275;-1.00665e-05;-0.0374084;0.221665;-3.83055e-05;0.0541408;0.0397212;0.000443651;0.0695949
22;4.40007;-0.00510573;0.000512274;-0.0214038;0.0601009;-0.000542997;-0.0253824;0.127388;-0.000639523;-0.0180113;0.15592;-0.000540115;0.00851258;0.0282971;-0.000943054;0.0634517
23;4.60001;-0.020947;-0.000475952;-0.0157267;0.0183131;-0.000193036;-0.00318736;-0.027113;-0.000801742;0.0431882;-0.170073;-0.00117763;0.00246986;-0.0820239;-1.10951e-05;-0.0660558
24;4.80003;-0.0363323;0.000203122;0.0447929;-0.170407;-0.00119228;0.0530209;-0.268703;-0.000399688;-0.0155989;-0.133706;7.32496e-05;-0.0549773;-0.0233323;0.000675525;-0.0362388
