 ;PosX [m]:;0.03;0.15;0.3;0.45;0.57
 ;PosY [m]:;0.15;0.15;0.15;0.15;0.15
 ;PosZ [m]:;0.05;0.05;0.05;0.05;0.05
Part;Time [s];Rhop_0 [kg/m^3];Rhop_1 [kg/m^3];Rhop_2 [kg/m^3];Rhop_3 [kg/m^3];Rhop_4 [kg/m^3]
0;0;1001.09;1001.09;1001.09;1001.09;1001.09
1;0.200048;1001.11;1001.1;1001.03;1000.99;1000.99
2;0.400007;1001.09;1001.17;1001.15;1001.13;1001.22
3;0.600021;1001.05;1001.07;1001.16;1001.28;1001.29
4;0.800038;1001.02;1001.05;1001.18;1001.32;1001.34
5;1.0001;1001.17;1001.17;1001.19;1001.19;1001.18
6;1.20006;1001.46;1001.34;1001.16;1001.02;1000.92
7;1.40001;1001.48;1001.43;1001.18;1000.94;1000.89
8;1.60006;1001.23;1001.25;1001.22;1001.12;1001.09
9;1.80011;1000.91;1000.99;1001.13;1001.38;1001.52
10;2.00002;1000.76;1000.87;1001.16;1001.5;1001.63
11;2.2;1000.94;1001.03;1001.27;1001.35;1001.32
12;2.40008;1001.53;1001.37;1001.13;1001.01;1000.94
13;2.60008;1001.74;1001.55;1001.08;1000.8;1000.73
14;2.80004;1001.43;1001.45;1001.31;1000.93;1000.76
15;3;1000.98;1001.06;1001.19;1001.35;1001.43
16;3.20006;1000.73;1000.79;1001.02;1001.53;1001.85
17;3.40012;1000.66;1000.81;1001.27;1001.57;1001.53
18;3.60013;1001.19;1001.29;1001.27;1001.12;1001.06
19;3.80014;1001.91;1001.47;1000.98;1000.81;1000.75
20;4.0001;1001.71;1001.66;1001.19;1000.73;1000.6
21;4.20011;1001.09;1001.21;1001.4;1001.17;1000.94
22;4.40007;1000.84;1000.85;1000.96;1001.45;1002.03
23;4.60001;1000.61;1000.71;1001.07;1001.68;1001.94
24;4.80003;1000.73;1001.01;1001.49;1001.32;1001.12
25;5.00002;1002.04;1001.49;1001.01;1000.89;1000.88
26;5.20009;1002.1;1001.62;1000.95;1000.73;1000.64
27;5.4;1001.21;1001.44;1001.49;1000.87;1000.62
28;5.60011;1000.9;1000.93;1001.13;1001.52;1001.72
29;5.80012;1000.72;1000.75;1000.88;1001.48;1002.02
30;6.00002;1000.6;1000.78;1001.39;1001.56;1001.33
31;6.20005;1001.32;1001.48;1001.29;1000.98;1000.87
32;6.40007;1002.04;1001.4;1000.85;1000.77;1000.77
33;6.6001;1001.62;1001.67;1001.25;1000.76;1000.6
34;6.80006;1000.87;1001.06;1001.45;1001.32;1000.97
35;7.00002;1000.83;1000.79;1000.87;1001.42;1002.1
36;7.20005;1000.65;1000.75;1001.09;1001.7;1001.95
37;7.40006;1000.79;1001.12;1001.53;1001.17;1000.85
38;7.60007;1002.09;1001.49;1000.93;1000.83;1000.83
39;7.80003;1002.07;1001.61;1000.95;1000.74;1000.65
40;8.00011;1001.01;1001.31;1001.53;1000.96;1000.69
41;8.2;1000.84;1000.87;1001.06;1001.56;1001.9
42;8.40003;1000.72;1000.75;1000.87;1001.48;1002.02
43;8.60011;1000.67;1000.84;1001.43;1001.46;1001.17
44;8.80005;1001.43;1001.53;1001.23;1000.93;1000.83
45;9.0001;1001.92;1001.4;1000.84;1000.78;1000.74
46;9.2001;1001.44;1001.59;1001.27;1000.79;1000.64
47;9.40007;1000.87;1001.02;1001.39;1001.34;1001.01
48;9.60002;1000.81;1000.81;1000.86;1001.39;1002
49;9.80004;1000.67;1000.78;1001.09;1001.62;1001.8
50;10.0001;1000.79;1001.11;1001.49;1001.15;1000.9
